image,width,height
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863686,10905,9477
https://www.e-rara.ch/zuz/i3f/v20/15508173,3087,3238
https://www.e-rara.ch/zuz/i3f/v20/15508178,3229,2874
https://www.e-rara.ch/zuz/i3f/v20/15508183,1571,2120
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720806,4221,4049
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863696,11850,8102
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863710,8178,5615
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863716,7873,5721
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863721,6720,5534
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863725,6060,4959
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863736,7414,6121
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429813,2994,2754
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429818,2994,2946
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863740,7461,6145
https://www.e-rara.ch/zuz/i3f/v20/16258728,3000,2568
https://www.e-rara.ch/zuz/i3f/v20/16392342,3000,2568
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720811,2731,2252
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720816,2731,2252
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1640913,8238,6914
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1689929,6789,5693
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1689933,6371,6334
https://www.e-rara.ch/zuz/i3f/v20/15508194,8979,8305
https://www.e-rara.ch/zuz/i3f/v20/15072823,7389,5093
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617728,7418,6254
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617733,5561,5160
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1170628,6384,4165
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617738,10253,8823
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617743,5731,5044
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1029771,5124,4785
https://www.e-rara.ch/zuz/i3f/v20/15072838,4850,4041
https://www.e-rara.ch/zuz/i3f/v20/15072843,7124,6112
https://www.e-rara.ch/zuz/i3f/v20/15072848,7456,5944
https://www.e-rara.ch/zuz/i3f/v20/15072853,7411,6072
https://www.e-rara.ch/zuz/i3f/v20/15072857,7249,6043
https://www.e-rara.ch/zuz/i3f/v20/15072862,7230,5984
https://www.e-rara.ch/zuz/i3f/v20/15072866,7204,5967
https://www.e-rara.ch/zuz/i3f/v20/15072870,7374,6152
https://www.e-rara.ch/zuz/i3f/v20/15072874,5529,5097
https://www.e-rara.ch/zuz/i3f/v20/15072879,7256,6399
https://www.e-rara.ch/zuz/i3f/v20/15072883,4804,2823
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617748,6244,5042
https://www.e-rara.ch/zuz/i3f/v20/11136752,3961,4027
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1107891,6942,4975
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1107896,6932,4975
https://www.e-rara.ch/zuz/i3f/v20/11136757,7516,6665
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617755,6675,4898
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1614535,6003,4591
https://www.e-rara.ch/zuz/i3f/v20/15072892,5580,4681
https://www.e-rara.ch/zuz/i3f/v20/15038574,4348,3896
https://www.e-rara.ch/zuz/i3f/v20/15038579,5390,3714
https://www.e-rara.ch/zuz/i3f/v20/15038584,4380,4439
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617764,3400,3611
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617769,8400,7147
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617774,3691,4006
https://www.e-rara.ch/zuz/i3f/v20/15508218,7399,6582
https://www.e-rara.ch/zuz/i3f/v20/15072908,3593,3881
https://www.e-rara.ch/zuz/i3f/v20/15072912,7508,4416
https://www.e-rara.ch/zuz/i3f/v20/15072921,6690,5936
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1107901,8463,6663
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617779,3623,3759
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617784,5411,4204
https://www.e-rara.ch/zuz/i3f/v20/15072925,8307,7637
https://www.e-rara.ch/zuz/i3f/v20/15072930,6511,5466
https://www.e-rara.ch/zuz/i3f/v20/15072935,7464,6182
https://www.e-rara.ch/zuz/i3f/v20/15072940,6398,5297
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617789,7095,5154
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617794,8160,6156
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617799,7513,5047
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617804,8097,7025
https://www.e-rara.ch/zuz/i3f/v20/15072945,7590,6743
https://www.e-rara.ch/zuz/i3f/v20/15072950,7840,6078
https://www.e-rara.ch/zuz/i3f/v20/15072955,4117,4075
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617814,4532,3930
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1125148,5914,5793
https://www.e-rara.ch/zuz/i3f/v20/15072964,7482,6641
https://www.e-rara.ch/zuz/i3f/v20/15072969,8611,7431
https://www.e-rara.ch/zuz/i3f/v20/15072974,8017,6761
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617819,7014,5112
https://www.e-rara.ch/zuz/i3f/v20/15072984,7957,6578
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1640931,6480,6173
https://www.e-rara.ch/zuz/i3f/v20/15072989,7524,6429
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617824,8391,7204
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617829,9018,5085
https://www.e-rara.ch/zuz/i3f/v20/15072994,7825,6827
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1640936,8457,6565
https://www.e-rara.ch/zuz/i3f/v20/15072999,7368,7000
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1107906,7376,6260
https://www.e-rara.ch/zuz/i3f/v20/15073004,8488,6724
https://www.e-rara.ch/zuz/i3f/v20/15073008,9163,7758
https://www.e-rara.ch/zuz/i3f/v20/15073013,8712,7030
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1029776,3960,3551
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1029780,1780,1448
https://www.e-rara.ch/zuz/i3f/v20/15508237,9737,8040
https://www.e-rara.ch/zuz/i3f/v20/17729189,5235,5509
https://www.e-rara.ch/zuz/i3f/v20/17762293,5237,5473
https://www.e-rara.ch/zuz/i3f/v20/17729194,5192,5485
https://www.e-rara.ch/zuz/i3f/v20/17729198,5193,5418
https://www.e-rara.ch/zuz/i3f/v20/17729288,3608,3672
https://www.e-rara.ch/zuz/i3f/v20/17729301,3356,3910
https://www.e-rara.ch/zuz/i3f/v20/17729457,4191,4511
https://www.e-rara.ch/zuz/i3f/v20/17729479,4293,4295
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2804386,5412,4132
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2804390,6236,4772
https://www.e-rara.ch/zuz/i3f/v20/17589174,4131,3997
https://www.e-rara.ch/zuz/i3f/v20/17589178,3587,3823
https://www.e-rara.ch/zuz/i3f/v20/17589182,3513,3099
https://www.e-rara.ch/zuz/i3f/v20/17589186,3545,3069
https://www.e-rara.ch/zuz/i3f/v20/17589190,2610,2818
https://www.e-rara.ch/zuz/i3f/v20/15959097,3474,3592
https://www.e-rara.ch/zuz/i3f/v20/15959102,2354,2015
https://www.e-rara.ch/zuz/i3f/v20/15959107,3797,3118
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1703441,3566,3460
https://www.e-rara.ch/zuz/i3f/v20/20361497,3632,3353
https://www.e-rara.ch/zuz/i3f/v20/17729702,4699,4055
https://www.e-rara.ch/zuz/i3f/v20/17729706,4725,4129
https://www.e-rara.ch/zuz/i3f/v20/17729761,4949,4753
https://www.e-rara.ch/zuz/i3f/v20/17729765,5002,4600
https://www.e-rara.ch/zuz/i3f/v20/17729769,5024,4696
https://www.e-rara.ch/zuz/i3f/v20/17729778,5065,4828
https://www.e-rara.ch/zuz/i3f/v20/17729782,5049,4795
https://www.e-rara.ch/zuz/i3f/v20/24389832,7338,6205
https://www.e-rara.ch/zuz/i3f/v20/19094853,2597,2817
https://www.e-rara.ch/zuz/i3f/v20/18438127,3404,3123
https://www.e-rara.ch/zuz/i3f/v20/18438132,3101,3528
